Bedrooms,Bathrooms,Square_Feet,Laundry_Type,Location_Zone,Parking,Room_Ratio,Size_per_Bedroom,Rent_Price_USD
1,1.0,725,In-unit,South_East,Premium_fee,0.9990009990009991,725.0,2495
2,2.0,980,In-unit,South_East,Premium_fee,0.9995002498750625,490.0,2895
1,1.0,600,On-site / Shared,South_East,Standard_fee,0.9990009990009991,600.0,1795
1,1.0,900,On-site / Shared,South_East,Standard_fee,0.9990009990009991,900.0,1925
2,1.0,950,On-site / Shared,South_East,Standard_fee,1.9980019980019983,475.0,1975
2,1.0,900,On-site / Shared,South_East,Standard_fee,1.9980019980019983,450.0,2100
1,1.0,705,Not applicable,South_East,Not_available,0.9990009990009991,705.0,1000
1,1.0,696,Not applicable,South_East,Not_available,0.9990009990009991,696.0,1150
1,1.0,693,Not applicable,South_West,Not_available,0.9990009990009991,693.0,1200
1,1.0,697,Not applicable,South_West,Not_available,0.9990009990009991,697.0,1300
1,1.0,717,Not applicable,South_East,Not_available,0.9990009990009991,717.0,1400
2,1.0,1071,Not applicable,South_East,Not_available,1.9980019980019983,535.5,1435
1,1.0,709,Not applicable,South_East,Not_available,0.9990009990009991,709.0,1600
1,1.0,699,Not applicable,South_North,Not_available,0.9990009990009991,699.0,1700
1,1.0,677,Not applicable,South_North,Not_available,0.9990009990009991,677.0,1795
1,1.0,687,Not applicable,North_South,Not_available,0.9990009990009991,687.0,2000
2,1.0,992,Not applicable,South_North,Not_available,1.9980019980019983,496.0,2100
2,1.0,1005,Not applicable,North_South,Not_available,1.9980019980019983,502.5,2300
3,2.0,1269,Not applicable,South_East,Not_available,1.4992503748125938,423.0,2400
2,1.0,947,Not applicable,North_South,Not_available,1.9980019980019983,473.5,2500
1,1.0,712,Not applicable,North,Standard_fee,0.9990009990009991,712.0,2575
3,2.0,1271,Not applicable,South_East,Standard_fee,1.4992503748125938,423.6666666666667,2600
4,2.5,2000,Not applicable,North,Standard_fee,1.599360255897641,500.0,2650
3,2.0,1237,Not applicable,South_East,Standard_fee,1.4992503748125938,412.3333333333333,2800
3,2.0,1229,Not applicable,South_East,Premium_fee,1.4992503748125938,409.6666666666667,3550
2,1.0,1001,On-site / Shared,South_West,Standard_fee,1.9980019980019983,500.5,2600
2,2.0,1056,In-unit,South_West,Standard_fee,0.9995002498750625,528.0,2950
2,1.0,1000,Not applicable,South_West,Not_available,1.9980019980019983,500.0,3000
3,1.5,1250,Not applicable,South_East,Not_available,1.998667554963358,416.6666666666667,3000
2,1.0,1015,Not applicable,South_West,Not_available,1.9980019980019983,507.5,2200
1,1.0,682,Not applicable,South_West,Not_available,0.9990009990009991,682.0,1800
4,2.5,2000,Not applicable,North,Included,1.599360255897641,500.0,3900
3,1.5,1141,Not applicable,South_East,Not_available,1.998667554963358,380.3333333333333,3250
3,1.5,1194,Not applicable,South_East,Not_available,1.998667554963358,398.0,3200
2,1.0,1000,Not applicable,South_West,Not_available,1.9980019980019983,500.0,2350
2,1.0,1000,Not applicable,South_West,Not_available,1.9980019980019983,500.0,2350
2,2.0,1068,Not applicable,North_South,Not_available,0.9995002498750625,534.0,2850
1,1.0,674,Not applicable,North_South,Not_available,0.9990009990009991,674.0,1990
2,1.0,907,Not applicable,North_South,Not_available,1.9980019980019983,453.5,1950
3,2.0,1200,Not applicable,South_East,Not_available,1.4992503748125938,400.0,2850
1,1.0,900,In-unit,South_East,Premium_fee,0.9990009990009991,900.0,2625
2,2.0,1340,In-unit,South_East,Premium_fee,0.9995002498750625,670.0,3395
2,2.0,1017,In-unit,South_East,Premium_fee,0.9995002498750625,508.5,3445
2,2.0,1098,In-unit,South_East,Premium_fee,0.9995002498750625,549.0,3845
0,1.0,555,In-unit,South_East,Premium_fee,0.0,,2230
1,1.0,702,In-unit,South_East,Premium_fee,0.9990009990009991,702.0,2465
1,1.0,726,In-unit,South_East,Premium_fee,0.9990009990009991,726.0,2490
2,2.0,1101,In-unit,South_East,Premium_fee,0.9995002498750625,550.5,2995
2,2.0,1056,In-unit,South_East,Premium_fee,0.9995002498750625,528.0,3125
2,2.0,1100,In-unit,South_East,Premium_fee,0.9995002498750625,550.0,3195
3,2.0,1000,Not applicable,North,Included,1.4992503748125938,333.3333333333333,4000
2,1.5,1015,Not applicable,South_East,Not_available,1.3324450366422387,507.5,3000
2,2.0,934,Not applicable,South_East,Not_available,0.9995002498750625,467.0,2800
2,1.0,926,Not applicable,South_East,Not_available,1.9980019980019983,463.0,2400
1,1.0,580,Not applicable,South_East,Not_available,0.9990009990009991,580.0,1995
3,2.0,1160,Not applicable,South_East,Not_available,1.4992503748125938,386.6666666666667,3100
3,2.0,1103,Not applicable,South_East,Not_available,1.4992503748125938,367.6666666666667,2900
1,1.0,693,Not applicable,South_East,Not_available,0.9990009990009991,693.0,1850
1,1.0,685,Not applicable,South_East,Standard_fee,0.9990009990009991,685.0,1800
1,1.0,712,Not applicable,South_East,Not_available,0.9990009990009991,712.0,1750
1,1.0,670,Not applicable,South_East,Not_available,0.9990009990009991,670.0,1700
1,1.0,666,Not applicable,South_East,Not_available,0.9990009990009991,666.0,1650
0,1.0,500,Not applicable,South_East,Standard_fee,0.0,,1600
2,1.0,1000,Not applicable,South_East,Not_available,1.9980019980019983,500.0,1600
0,1.0,546,Not applicable,South_East,Not_available,0.0,,1450
1,1.0,900,In-unit,South_East,Standard_fee,0.9990009990009991,900.0,2625
2,2.0,1340,In-unit,South_East,Standard_fee,0.9995002498750625,670.0,3395
2,2.0,1005,In-unit,South_East,Standard_fee,0.9995002498750625,502.5,3445
2,2.0,954,In-unit,South_East,Standard_fee,0.9995002498750625,477.0,3845
0,1.0,555,In-unit,South_East,Standard_fee,0.0,,2230
1,1.0,702,In-unit,South_East,Standard_fee,0.9990009990009991,702.0,2465
1,1.0,726,In-unit,South_East,Standard_fee,0.9990009990009991,726.0,2490
2,2.0,1101,In-unit,South_East,Standard_fee,0.9995002498750625,550.5,2995
2,2.0,1056,In-unit,South_East,Standard_fee,0.9995002498750625,528.0,3125
2,2.0,1100,In-unit,South_East,Standard_fee,0.9995002498750625,550.0,3195
2,1.0,1000,Not applicable,South_West,Not_available,1.9980019980019983,500.0,2350
2,2.0,974,Not applicable,South_West,Not_available,0.9995002498750625,487.0,2850
2,1.0,1092,Not applicable,South_West,Not_available,1.9980019980019983,546.0,1950
1,1.0,658,Not applicable,South_West,Not_available,0.9990009990009991,658.0,1990
3,2.0,1128,Not applicable,South_East,Not_available,1.4992503748125938,376.0,3000
3,1.5,1115,Not applicable,South_East,Not_available,1.998667554963358,371.6666666666667,3200
3,2.0,1201,Not applicable,South_East,Not_available,1.4992503748125938,400.3333333333333,3300
3,2.5,1121,Not applicable,South_East,Not_available,1.1995201919232308,373.6666666666667,3400
3,1.5,1252,Not applicable,South_East,Included,1.998667554963358,417.3333333333333,3700
3,2.5,1288,Not applicable,South_East,Included,1.1995201919232308,429.3333333333333,3800
4,2.5,2000,Not applicable,North,Included,1.599360255897641,500.0,3900
4,3.0,2000,Not applicable,North,Included,1.332889036987671,500.0,4000
4,3.0,2000,Not applicable,North,Included,1.332889036987671,500.0,4300
4,3.0,2000,Not applicable,North,Included,1.332889036987671,500.0,4500
4,3.0,2000,Not applicable,North,Included,1.332889036987671,500.0,4900
3,1.5,1107,Not applicable,North,Not_available,1.998667554963358,369.0,3100
3,1.5,1118,Not applicable,North,Included,1.998667554963358,372.6666666666667,3600
1,1.0,730,On-site / Shared,South_West,Standard_fee,0.9990009990009991,730.0,1950
1,1.0,664,Not applicable,South_West,Not_available,0.9990009990009991,664.0,1800
2,1.0,977,Not applicable,South_West,Not_available,1.9980019980019983,488.5,2400
3,1.0,1000,Not applicable,South_West,Not_available,2.997002997002997,333.3333333333333,2750
1,1.0,700,Not applicable,South_West,Not_available,0.9990009990009991,700.0,1750
3,3.0,1172,Not applicable,South_West,Included,0.9996667777407531,390.6666666666667,3995
1,1.0,750,Not applicable,South_West,Not_available,0.9990009990009991,750.0,1795
2,1.0,912,Not applicable,South_West,Not_available,1.9980019980019983,456.0,2499
0,1.0,516,On-site / Shared,South_West,Standard_fee,0.0,,1600
3,1.5,1112,Not applicable,South_West,Included,1.998667554963358,370.6666666666667,3550
0,1.0,500,On-site / Shared,South_West,Standard_fee,0.0,,1600
1,1.0,681,Not applicable,South_West,Not_available,0.9990009990009991,681.0,1700
1,1.0,700,Not applicable,South_West,Not_available,0.9990009990009991,700.0,1600
1,1.0,697,On-site / Shared,South_West,Standard_fee,0.9990009990009991,697.0,1600
3,1.0,1179,Not applicable,South_West,Not_available,2.997002997002997,393.0,2550
3,1.0,1000,Not applicable,South_West,Not_available,2.997002997002997,333.3333333333333,2600
0,1.0,548,On-site / Shared,South_West,Standard_fee,0.0,,1450
3,2.0,1398,Not applicable,South_West,Included,1.4992503748125938,466.0,3700
0,1.0,500,On-site / Shared,South_West,Standard_fee,0.0,,1600
1,1.0,800,Not applicable,South_West,Not_available,0.9990009990009991,800.0,1950
3,1.0,1258,Not applicable,South_West,Not_available,2.997002997002997,419.3333333333333,2500
3,2.0,1393,Not applicable,South_West,Included,1.4992503748125938,464.3333333333333,3560
0,1.0,500,On-site / Shared,South_West,Standard_fee,0.0,,1600
1,1.0,682,Not applicable,South_West,Not_available,0.9990009990009991,682.0,1850
3,1.5,1000,Not applicable,South_West,Not_available,1.998667554963358,333.3333333333333,2850
2,1.0,1000,Not applicable,South_West,Not_available,1.9980019980019983,500.0,1600
3,2.0,1237,Not applicable,South_West,Not_available,1.4992503748125938,412.3333333333333,3000
2,1.5,1015,Not applicable,South_West,Not_available,1.3324450366422387,507.5,3000
4,2.5,1847,Not applicable,South_West,Included,1.599360255897641,461.75,4300
1,1.0,700,Not applicable,South_West,Not_available,0.9990009990009991,700.0,1700
1,1.0,691,Not applicable,South_West,Not_available,0.9990009990009991,691.0,1800
2,1.0,1089,Not applicable,South_West,Not_available,1.9980019980019983,544.5,2300
2,1.0,1073,Not applicable,South_West,Not_available,1.9980019980019983,536.5,2400
2,2.0,987,Not applicable,South_West,Not_available,0.9995002498750625,493.5,2800
1,1.0,687,Not applicable,South_West,Not_available,0.9990009990009991,687.0,1750
3,1.0,1113,Not applicable,South_West,Not_available,2.997002997002997,371.0,2600
1,1.0,696,Not applicable,South_West,Not_available,0.9990009990009991,696.0,1600
3,1.0,1233,Not applicable,South_West,Not_available,2.997002997002997,411.0,2500
0,1.0,526,On-site / Shared,South_West,Standard_fee,0.0,,1599
1,1.0,655,Not applicable,South_West,Standard_fee,0.9990009990009991,655.0,1650
1,1.0,665,Not applicable,South_West,Standard_fee,0.9990009990009991,665.0,1700
0,1.0,555,In-unit,South_East,Premium_fee,0.0,,2230
1,1.0,702,In-unit,South_East,Premium_fee,0.9990009990009991,702.0,2465
1,1.0,726,In-unit,South_East,Premium_fee,0.9990009990009991,726.0,2490
2,2.0,1101,In-unit,South_East,Premium_fee,0.9995002498750625,550.5,2995
2,2.0,1056,In-unit,South_East,Premium_fee,0.9995002498750625,528.0,3125
2,2.0,1100,In-unit,South_East,Premium_fee,0.9995002498750625,550.0,3195
1,1.0,805,In-unit,South_East,Premium_fee,0.9990009990009991,805.0,2349
2,2.0,1207,In-unit,South_East,Premium_fee,0.9995002498750625,603.5,3300
1,1.0,661,On-site / Shared,South_East,Standard_fee,0.9990009990009991,661.0,1795
1,1.0,697,On-site / Shared,South_East,Standard_fee,0.9990009990009991,697.0,1945
1,1.0,783,In-unit,South_East,Premium_fee,0.9990009990009991,783.0,2490
1,1.0,779,In-unit,South_East,Premium_fee,0.9990009990009991,779.0,2728
1,1.0,760,In-unit,South_East,Premium_fee,0.9990009990009991,760.0,2725
2,2.0,1300,In-unit,South_East,Premium_fee,0.9995002498750625,650.0,3350
0,1.0,658,In-unit,South_East,Premium_fee,0.0,,2376
0,1.0,776,In-unit,South_East,Premium_fee,0.0,,2672
0,1.0,742,In-unit,South_East,Premium_fee,0.0,,2744
0,1.0,656,In-unit,South_East,Premium_fee,0.0,,2472
1,1.0,783,In-unit,South_East,Premium_fee,0.9990009990009991,783.0,2716
1,1.0,758,In-unit,South_East,Premium_fee,0.9990009990009991,758.0,2815
1,1.0,756,In-unit,South_East,Premium_fee,0.9990009990009991,756.0,2588
1,1.0,849,In-unit,South_East,Premium_fee,0.9990009990009991,849.0,2856
1,1.0,893,In-unit,South_East,Premium_fee,0.9990009990009991,893.0,2850
2,1.5,987,Not applicable,South_North,Not_available,1.3324450366422387,493.5,2300
3,1.0,1193,Not applicable,South_North,Not_available,2.997002997002997,397.6666666666667,3100
2,1.0,918,Not applicable,South_North,Not_available,1.9980019980019983,459.0,1995
2,1.0,1018,Not applicable,South_North,Not_available,1.9980019980019983,509.0,2200
1,1.0,693,Not applicable,South_North,Not_available,0.9990009990009991,693.0,1990
2,1.0,1100,Not applicable,South_North,Not_available,1.9980019980019983,550.0,2300
2,2.0,950,Not applicable,South_North,Not_available,0.9995002498750625,475.0,2750
2,1.0,900,Not applicable,South_North,Not_available,1.9980019980019983,450.0,2250
1,1.0,912,Not applicable,South_North,Not_available,0.9990009990009991,912.0,2050
3,1.0,1377,Not applicable,South_North,Not_available,2.997002997002997,459.0,3200
2,1.0,978,Not applicable,South_North,Not_available,1.9980019980019983,489.0,2300
3,1.0,1179,Not applicable,South_North,Not_available,2.997002997002997,393.0,2800
1,1.0,600,Not applicable,South_North,Not_available,0.9990009990009991,600.0,1850
2,1.0,966,Not applicable,South_North,Not_available,1.9980019980019983,483.0,1950
3,1.0,1171,Not applicable,South_North,Not_available,2.997002997002997,390.3333333333333,2700
2,1.5,850,Not applicable,South_North,Not_available,1.3324450366422387,425.0,2250
1,1.0,701,Not applicable,South_North,Not_available,0.9990009990009991,701.0,2000
3,2.0,1145,Not applicable,South_North,Included,1.4992503748125938,381.6666666666667,3600
1,1.0,716,Not applicable,South_North,Not_available,0.9990009990009991,716.0,2200
1,1.0,658,Not applicable,South_North,Not_available,0.9990009990009991,658.0,2250
3,1.5,1211,Not applicable,South_North,Not_available,1.998667554963358,403.6666666666667,3250
1,1.0,705,Not applicable,South_North,Not_available,0.9990009990009991,705.0,1800
2,1.0,962,Not applicable,South_North,Not_available,1.9980019980019983,481.0,2300
1,1.0,671,Not applicable,South_North,Not_available,0.9990009990009991,671.0,1650
1,1.0,671,Not applicable,South_North,Not_available,0.9990009990009991,671.0,2000
2,1.0,1034,Not applicable,South_North,Not_available,1.9980019980019983,517.0,2200
4,1.5,2000,Not applicable,South_North,Not_available,2.6648900732844774,500.0,2800
1,1.0,674,Not applicable,South_North,Not_available,0.9990009990009991,674.0,1500
2,2.0,1095,Not applicable,North_South,Not_available,0.9995002498750625,547.5,2850
2,2.0,987,Not applicable,North_South,Not_available,0.9995002498750625,493.5,2950
2,1.0,1000,Not applicable,North_South,Not_available,1.9980019980019983,500.0,3000
4,2.5,2000,Not applicable,North_South,Included,1.599360255897641,500.0,3900
3,1.5,1257,Not applicable,North_South,Not_available,1.998667554963358,419.0,3200
3,1.5,1250,Not applicable,North_South,Not_available,1.998667554963358,416.6666666666667,3000
2,1.0,1011,Not applicable,North_South,Not_available,1.9980019980019983,505.5,2600
2,1.0,1000,Not applicable,North_South,Not_available,1.9980019980019983,500.0,2350
3,2.5,1257,Not applicable,North_South,Included,1.1995201919232308,419.0,3850
2,1.0,1000,Not applicable,North_South,Not_available,1.9980019980019983,500.0,2350
3,2.0,1215,Not applicable,North_South,Not_available,1.4992503748125938,405.0,2800
3,2.0,1196,Not applicable,North,Included,1.4992503748125938,398.6666666666667,3800
1,1.0,738,Not applicable,North,Standard_fee,0.9990009990009991,738.0,2445
2,2.0,980,Not applicable,North,Standard_fee,0.9995002498750625,490.0,2900
2,1.0,937,Not applicable,North_South,Not_available,1.9980019980019983,468.5,2950
2,1.0,1066,Not applicable,North_South,Not_available,1.9980019980019983,533.0,3000
1,1.0,696,Not applicable,North_South,Not_available,0.9990009990009991,696.0,1990
2,1.0,927,Not applicable,North_South,Not_available,1.9980019980019983,463.5,2850
3,2.0,1156,Not applicable,North_South,Not_available,1.4992503748125938,385.3333333333333,2800
2,2.0,1071,Not applicable,North_South,Not_available,0.9995002498750625,535.5,2850
2,1.0,1048,Not applicable,North_South,Not_available,1.9980019980019983,524.0,2300
2,2.0,902,Not applicable,North_South,Not_available,0.9995002498750625,451.0,2850
1,1.0,713,Not applicable,North_South,Not_available,0.9990009990009991,713.0,1800
3,1.5,1150,Not applicable,North_South,Not_available,1.998667554963358,383.3333333333333,3250
3,1.5,1250,Not applicable,North_South,Not_available,1.998667554963358,416.6666666666667,3000
4,1.25,2000,Not applicable,North_South,Included,3.19744204636291,500.0,3900
3,1.0,1050,Not applicable,North_South,Not_available,2.997002997002997,350.0,3200
1,1.0,657,Not applicable,North_South,Not_available,0.9990009990009991,657.0,900
2,1.0,1060,Not applicable,North_South,Not_available,1.9980019980019983,530.0,2550
1,1.0,687,Not applicable,North_South,Not_available,0.9990009990009991,687.0,2200
1,1.0,685,Not applicable,North_South,Not_available,0.9990009990009991,685.0,2000
1,1.0,688,Not applicable,North_South,Not_available,0.9990009990009991,688.0,1650
1,1.0,671,Not applicable,North_South,Not_available,0.9990009990009991,671.0,2250
3,1.0,1136,Not applicable,North_South,Not_available,2.997002997002997,378.6666666666667,2800
2,1.5,1058,Not applicable,North_South,Not_available,1.3324450366422387,529.0,2250
1,1.0,700,Not applicable,South_East,Not_available,0.9990009990009991,700.0,1600
1,1.0,664,Not applicable,South_East,Not_available,0.9990009990009991,664.0,1750
1,1.0,658,Not applicable,South_East,Not_available,0.9990009990009991,658.0,2200
2,1.0,986,Not applicable,South_East,Not_available,1.9980019980019983,493.0,2169
2,1.0,1020,Not applicable,South_East,Not_available,1.9980019980019983,510.0,2600
3,1.0,1143,Not applicable,South_East,Not_available,2.997002997002997,381.0,2900
3,2.0,1297,Not applicable,South_East,Not_available,1.4992503748125938,432.3333333333333,3000
1,1.0,686,Not applicable,South_East,Not_available,0.9990009990009991,686.0,1800
1,1.0,718,Not applicable,North,Not_available,0.9990009990009991,718.0,1770
1,1.0,540,In-unit,North,Premium_fee,0.9990009990009991,540.0,1885
1,1.0,657,In-unit,South_East,Premium_fee,0.9990009990009991,657.0,2495
1,1.0,677,In-unit,North,Premium_fee,0.9990009990009991,677.0,2655
